"county","jurisdiction","candidate","party","office","district","votes"
"Cheshire","Rindge","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Rindge","Jim Marron","Republican","Governor",,
"Cheshire","Rindge","Jim Squires","Republican","Governor",,1
"Cheshire","Rindge","Scatter",,"Governor",,
"Cheshire","Roxbury","Mark Fernald","Democratic","Governor",,18
"Cheshire","Roxbury","Jeanne Shaheen","Democratic","Governor",,10
"Cheshire","Roxbury","Fred Bramante","Republican","Governor",,
"Cheshire","Roxbury","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Roxbury","Gordon J. Humphrey","Republican","Governor",,1
"Cheshire","Roxbury","Jim Marron","Republican","Governor",,
"Cheshire","Roxbury","Jim Squires","Republican","Governor",,
"Cheshire","Roxbury","Scatter",,"Governor",,
"Cheshire","Stoddard","Mark Fernald","Democratic","Governor",,62
"Cheshire","Stoddard","Jeanne Shaheen","Democratic","Governor",,37
"Cheshire","Stoddard","Fred Bramante","Republican","Governor",,
"Cheshire","Stoddard","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Stoddard","Gordon J. Humphrey","Republican","Governor",,2
"Cheshire","Stoddard","Jim Marron","Republican","Governor",,
"Cheshire","Stoddard","Jim Squires","Republican","Governor",,2
"Cheshire","Stoddard","Scatter",,"Governor",,
"Cheshire","Sullivan","Mark Fernald","Democratic","Governor",,27
"Cheshire","Sullivan","Jeanne Shaheen","Democratic","Governor",,25
"Cheshire","Sullivan","Fred Bramante","Republican","Governor",,
"Cheshire","Sullivan","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Sullivan","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Sullivan","Jim Marron","Republican","Governor",,
"Cheshire","Sullivan","Jim Squires","Republican","Governor",,
"Cheshire","Sullivan","Scatter",,"Governor",,
"Cheshire","Surry","Mark Fernald","Democratic","Governor",,34
"Cheshire","Surry","Jeanne Shaheen","Democratic","Governor",,29
"Cheshire","Surry","Fred Bramante","Republican","Governor",,
"Cheshire","Surry","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Surry","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Surry","Jim Marron","Republican","Governor",,
"Cheshire","Surry","Jim Squires","Republican","Governor",,1
"Cheshire","Surry","Scatter",,"Governor",,
"Cheshire","Swanzey","Mark Fernald","Democratic","Governor",,189
"Cheshire","Swanzey","Jeanne Shaheen","Democratic","Governor",,208
"Cheshire","Swanzey","Fred Bramante","Republican","Governor",,
"Cheshire","Swanzey","Jeffrey R. Howard","Republican","Governor",,1
"Cheshire","Swanzey","Gordon J. Humphrey","Republican","Governor",,1
"Cheshire","Swanzey","Jim Marron","Republican","Governor",,
"Cheshire","Swanzey","Jim Squires","Republican","Governor",,1
"Cheshire","Swanzey","Scatter",,"Governor",,
"Cheshire","Troy","Mark Fernald","Democratic","Governor",,80
"Cheshire","Troy","Jeanne Shaheen","Democratic","Governor",,71
"Cheshire","Troy","Fred Bramante","Republican","Governor",,
"Cheshire","Troy","Jeffrey R. Howard","Republican","Governor",,1
"Cheshire","Troy","Gordon J. Humphrey","Republican","Governor",,1
"Cheshire","Troy","Jim Marron","Republican","Governor",,
"Cheshire","Troy","Jim Squires","Republican","Governor",,
"Cheshire","Troy","Scatter",,"Governor",,
"Cheshire","Walpole","Mark Fernald","Democratic","Governor",,203
"Cheshire","Walpole","Jeanne Shaheen","Democratic","Governor",,139
"Cheshire","Walpole","Fred Bramante","Republican","Governor",,
"Cheshire","Walpole","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Walpole","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Walpole","Jim Marron","Republican","Governor",,
"Cheshire","Walpole","Jim Squires","Republican","Governor",,3
"Cheshire","Walpole","Scatter",,"Governor",,
"Cheshire","Westmoreland","Mark Fernald","Democratic","Governor",,100
"Cheshire","Westmoreland","Jeanne Shaheen","Democratic","Governor",,72
"Cheshire","Westmoreland","Fred Bramante","Republican","Governor",,
"Cheshire","Westmoreland","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Westmoreland","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Westmoreland","Jim Marron","Republican","Governor",,
"Cheshire","Westmoreland","Jim Squires","Republican","Governor",,
"Cheshire","Westmoreland","Scatter",,"Governor",,
"Cheshire","Winchester","Mark Fernald","Democratic","Governor",,82
"Cheshire","Winchester","Jeanne Shaheen","Democratic","Governor",,108
"Cheshire","Winchester","Fred Bramante","Republican","Governor",,
"Cheshire","Winchester","Jeffrey R. Howard","Republican","Governor",,5
"Cheshire","Winchester","Gordon J. Humphrey","Republican","Governor",,3
"Cheshire","Winchester","Jim Marron","Republican","Governor",,
"Cheshire","Winchester","Jim Squires","Republican","Governor",,
"Cheshire","Winchester","Scatter",,"Governor",,1
"Cheshire",,"Mark Fernald","Democratic","Governor",,3155
"Cheshire",,"Jeanne Shaheen","Democratic","Governor",,2429
"Cheshire",,"Fred Bramante","Republican","Governor",,1
"Cheshire",,"Jeffrey R. Howard","Republican","Governor",,11
"Cheshire",,"Gordon J. Humphrey","Republican","Governor",,17
"Cheshire",,"Jim Marron","Republican","Governor",,
"Cheshire",,"Jim Squires","Republican","Governor",,23
"Cheshire",,"Scatter",,"Governor",,4
"Coos","Atk. & Gilm. Ac. Gt.","Mark Fernald","Democratic","Governor",,0
"Coos","Atk. & Gilm. Ac. Gt.","Jeanne Shaheen","Democratic","Governor",,0
"Coos","Atk. & Gilm. Ac. Gt.","Fred Bramante","Republican","Governor",,0
"Coos","Atk. & Gilm. Ac. Gt.","Jeffrey R. Howard","Republican","Governor",,0
"Coos","Atk. & Gilm. Ac. Gt.","Gordon J. Humphrey","Republican","Governor",,0
"Coos","Atk. & Gilm. Ac. Gt.","Jim Marron","Republican","Governor",,0
"Coos","Atk. & Gilm. Ac. Gt.","Jim Squires","Republican","Governor",,0
"Coos","Atk. & Gilm. Ac. Gt.","Scatter",,"Governor",,0
"Coos","Bean's Grant","Mark Fernald","Democratic","Governor",,
"Coos","Bean's Grant","Jeanne Shaheen","Democratic","Governor",,
"Coos","Bean's Grant","Fred Bramante","Republican","Governor",,
"Coos","Bean's Grant","Jeffrey R. Howard","Republican","Governor",,
"Coos","Bean's Grant","Gordon J. Humphrey","Republican","Governor",,
"Coos","Bean's Grant","Jim Marron","Republican","Governor",,
"Coos","Bean's Grant","Jim Squires","Republican","Governor",,
"Coos","Bean's Grant","Scatter",,"Governor",,
"Coos","Bean's Purchase","Mark Fernald","Democratic","Governor",,
"Coos","Bean's Purchase","Jeanne Shaheen","Democratic","Governor",,
"Coos","Bean's Purchase","Fred Bramante","Republican","Governor",,
"Coos","Bean's Purchase","Jeffrey R. Howard","Republican","Governor",,
"Coos","Bean's Purchase","Gordon J. Humphrey","Republican","Governor",,
"Coos","Bean's Purchase","Jim Marron","Republican","Governor",,
"Coos","Bean's Purchase","Jim Squires","Republican","Governor",,
"Coos","Bean's Purchase","Scatter",,"Governor",,
"Coos","Berlin Ward 1","Mark Fernald","Democratic","Governor",,68
"Coos","Berlin Ward 1","Jeanne Shaheen","Democratic","Governor",,170
"Coos","Berlin Ward 1","Fred Bramante","Republican","Governor",,
"Coos","Berlin Ward 1","Jeffrey R. Howard","Republican","Governor",,
"Coos","Berlin Ward 1","Gordon J. Humphrey","Republican","Governor",,2
"Coos","Berlin Ward 1","Jim Marron","Republican","Governor",,
"Coos","Berlin Ward 1","Jim Squires","Republican","Governor",,1
"Coos","Berlin Ward 1","Scatter",,"Governor",,
"Coos","Berlin Ward 2","Mark Fernald","Democratic","Governor",,57
"Coos","Berlin Ward 2","Jeanne Shaheen","Democratic","Governor",,168
"Coos","Berlin Ward 2","Fred Bramante","Republican","Governor",,
"Coos","Berlin Ward 2","Jeffrey R. Howard","Republican","Governor",,
"Coos","Berlin Ward 2","Gordon J. Humphrey","Republican","Governor",,3
"Coos","Berlin Ward 2","Jim Marron","Republican","Governor",,
"Coos","Berlin Ward 2","Jim Squires","Republican","Governor",,1
"Coos","Berlin Ward 2","Scatter",,"Governor",,1
"Coos","Berlin Ward 3","Mark Fernald","Democratic","Governor",,79
"Coos","Berlin Ward 3","Jeanne Shaheen","Democratic","Governor",,218
"Coos","Berlin Ward 3","Fred Bramante","Republican","Governor",,
"Coos","Berlin Ward 3","Jeffrey R. Howard","Republican","Governor",,
"Coos","Berlin Ward 3","Gordon J. Humphrey","Republican","Governor",,3
"Coos","Berlin Ward 3","Jim Marron","Republican","Governor",,
"Coos","Berlin Ward 3","Jim Squires","Republican","Governor",,
"Coos","Berlin Ward 3","Scatter",,"Governor",,
"Coos","Berlin Ward 4","Mark Fernald","Democratic","Governor",,51
"Coos","Berlin Ward 4","Jeanne Shaheen","Democratic","Governor",,168
"Coos","Berlin Ward 4","Fred Bramante","Republican","Governor",,
"Coos","Berlin Ward 4","Jeffrey R. Howard","Republican","Governor",,
"Coos","Berlin Ward 4","Gordon J. Humphrey","Republican","Governor",,5
"Coos","Berlin Ward 4","Jim Marron","Republican","Governor",,
"Coos","Berlin Ward 4","Jim Squires","Republican","Governor",,1
"Coos","Berlin Ward 4","Scatter",,"Governor",,
"Coos","Cambridge","Mark Fernald","Democratic","Governor",,0
"Coos","Cambridge","Jeanne Shaheen","Democratic","Governor",,0
"Coos","Cambridge","Fred Bramante","Republican","Governor",,0
"Coos","Cambridge","Jeffrey R. Howard","Republican","Governor",,0
"Coos","Cambridge","Gordon J. Humphrey","Republican","Governor",,0
"Coos","Cambridge","Jim Marron","Republican","Governor",,0
"Coos","Cambridge","Jim Squires","Republican","Governor",,0
"Coos","Cambridge","Scatter",,"Governor",,0
"Coos","Carroll","Mark Fernald","Democratic","Governor",,13
"Coos","Carroll","Jeanne Shaheen","Democratic","Governor",,44
"Coos","Carroll","Fred Bramante","Republican","Governor",,
"Coos","Carroll","Jeffrey R. Howard","Republican","Governor",,
"Coos","Carroll","Gordon J. Humphrey","Republican","Governor",,
"Coos","Carroll","Jim Marron","Republican","Governor",,
"Coos","Carroll","Jim Squires","Republican","Governor",,
"Coos","Carroll","Scatter",,"Governor",,
"Coos","Chandler's Purchase","Mark Fernald","Democratic","Governor",,
"Coos","Chandler's Purchase","Jeanne Shaheen","Democratic","Governor",,
"Coos","Chandler's Purchase","Fred Bramante","Republican","Governor",,
"Coos","Chandler's Purchase","Jeffrey R. Howard","Republican","Governor",,
"Coos","Chandler's Purchase","Gordon J. Humphrey","Republican","Governor",,
"Coos","Chandler's Purchase","Jim Marron","Republican","Governor",,
"Coos","Chandler's Purchase","Jim Squires","Republican","Governor",,
"Coos","Chandler's Purchase","Scatter",,"Governor",,
"Coos","Clarksville","Mark Fernald","Democratic","Governor",,7
"Coos","Clarksville","Jeanne Shaheen","Democratic","Governor",,11
"Coos","Clarksville","Fred Bramante","Republican","Governor",,
"Coos","Clarksville","Jeffrey R. Howard","Republican","Governor",,
"Coos","Clarksville","Gordon J. Humphrey","Republican","Governor",,1
"Coos","Clarksville","Jim Marron","Republican","Governor",,
"Coos","Clarksville","Jim Squires","Republican","Governor",,
"Coos","Clarksville","Scatter",,"Governor",,1
"Coos","Colebrook","Mark Fernald","Democratic","Governor",,14
"Coos","Colebrook","Jeanne Shaheen","Democratic","Governor",,49
"Coos","Colebrook","Fred Bramante","Republican","Governor",,
"Coos","Colebrook","Jeffrey R. Howard","Republican","Governor",,
"Coos","Colebrook","Gordon J. Humphrey","Republican","Governor",,2
"Coos","Colebrook","Jim Marron","Republican","Governor",,
"Coos","Colebrook","Jim Squires","Republican","Governor",,1
"Coos","Colebrook","Scatter",,"Governor",,
"Coos","Columbia","Mark Fernald","Democratic","Governor",,6
"Coos","Columbia","Jeanne Shaheen","Democratic","Governor",,14
"Coos","Columbia","Fred Bramante","Republican","Governor",,
"Coos","Columbia","Jeffrey R. Howard","Republican","Governor",,2
"Coos","Columbia","Gordon J. Humphrey","Republican","Governor",,
"Coos","Columbia","Jim Marron","Republican","Governor",,
"Coos","Columbia","Jim Squires","Republican","Governor",,2
"Coos","Columbia","Scatter",,"Governor",,
"Coos","Crawford's Purchase","Mark Fernald","Democratic","Governor",,
"Coos","Crawford's Purchase","Jeanne Shaheen","Democratic","Governor",,
"Coos","Crawford's Purchase","Fred Bramante","Republican","Governor",,
"Coos","Crawford's Purchase","Jeffrey R. Howard","Republican","Governor",,
"Coos","Crawford's Purchase","Gordon J. Humphrey","Republican","Governor",,
"Coos","Crawford's Purchase","Jim Marron","Republican","Governor",,
"Coos","Crawford's Purchase","Jim Squires","Republican","Governor",,
"Coos","Crawford's Purchase","Scatter",,"Governor",,
"Coos","Cutt's Grant","Mark Fernald","Democratic","Governor",,
"Coos","Cutt's Grant","Jeanne Shaheen","Democratic","Governor",,
"Coos","Cutt's Grant","Fred Bramante","Republican","Governor",,
"Coos","Cutt's Grant","Jeffrey R. Howard","Republican","Governor",,
"Coos","Cutt's Grant","Gordon J. Humphrey","Republican","Governor",,
"Coos","Cutt's Grant","Jim Marron","Republican","Governor",,
"Coos","Cutt's Grant","Jim Squires","Republican","Governor",,
"Coos","Cutt's Grant","Scatter",,"Governor",,
"Coos","Dalton","Mark Fernald","Democratic","Governor",,11
"Coos","Dalton","Jeanne Shaheen","Democratic","Governor",,20
"Coos","Dalton","Fred Bramante","Republican","Governor",,
"Coos","Dalton","Jeffrey R. Howard","Republican","Governor",,
"Coos","Dalton","Gordon J. Humphrey","Republican","Governor",,1
"Coos","Dalton","Jim Marron","Republican","Governor",,
"Coos","Dalton","Jim Squires","Republican","Governor",,
"Coos","Dalton","Scatter",,"Governor",,
"Coos","Dix's Grant","Mark Fernald","Democratic","Governor",,0
"Coos","Dix's Grant","Jeanne Shaheen","Democratic","Governor",,0
"Coos","Dix's Grant","Fred Bramante","Republican","Governor",,0
"Coos","Dix's Grant","Jeffrey R. Howard","Republican","Governor",,0
"Coos","Dix's Grant","Gordon J. Humphrey","Republican","Governor",,0
"Coos","Dix's Grant","Jim Marron","Republican","Governor",,0
"Coos","Dix's Grant","Jim Squires","Republican","Governor",,0
"Coos","Dix's Grant","Scatter",,"Governor",,0
"Coos","Dixville","Mark Fernald","Democratic","Governor",,0
"Coos","Dixville","Jeanne Shaheen","Democratic","Governor",,1
"Coos","Dixville","Fred Bramante","Republican","Governor",,
"Coos","Dixville","Jeffrey R. Howard","Republican","Governor",,
"Coos","Dixville","Gordon J. Humphrey","Republican","Governor",,
"Coos","Dixville","Jim Marron","Republican","Governor",,
"Coos","Dixville","Jim Squires","Republican","Governor",,
"Coos","Dixville","Scatter",,"Governor",,
"Coos","Dummer","Mark Fernald","Democratic","Governor",,8
"Coos","Dummer","Jeanne Shaheen","Democratic","Governor",,10
"Coos","Dummer","Fred Bramante","Republican","Governor",,
"Coos","Dummer","Jeffrey R. Howard","Republican","Governor",,
"Coos","Dummer","Gordon J. Humphrey","Republican","Governor",,1
"Coos","Dummer","Jim Marron","Republican","Governor",,
"Coos","Dummer","Jim Squires","Republican","Governor",,
"Coos","Dummer","Scatter",,"Governor",,
"Coos","Errol","Mark Fernald","Democratic","Governor",,5
"Coos","Errol","Jeanne Shaheen","Democratic","Governor",,4
"Coos","Errol","Fred Bramante","Republican","Governor",,
"Coos","Errol","Jeffrey R. Howard","Republican","Governor",,
"Coos","Errol","Gordon J. Humphrey","Republican","Governor",,
"Coos","Errol","Jim Marron","Republican","Governor",,
"Coos","Errol","Jim Squires","Republican","Governor",,
"Coos","Errol","Scatter",,"Governor",,
"Coos","Erving's Location","Mark Fernald","Democratic","Governor",,0
"Coos","Erving's Location","Jeanne Shaheen","Democratic","Governor",,0
"Coos","Erving's Location","Fred Bramante","Republican","Governor",,0
"Coos","Erving's Location","Jeffrey R. Howard","Republican","Governor",,0
"Coos","Erving's Location","Gordon J. Humphrey","Republican","Governor",,0
"Coos","Erving's Location","Jim Marron","Republican","Governor",,0
"Coos","Erving's Location","Jim Squires","Republican","Governor",,0
"Coos","Erving's Location","Scatter",,"Governor",,0
"Coos","Gorham","Mark Fernald","Democratic","Governor",,55
"Coos","Gorham","Jeanne Shaheen","Democratic","Governor",,155
"Coos","Gorham","Fred Bramante","Republican","Governor",,
"Coos","Gorham","Jeffrey R. Howard","Republican","Governor",,2
"Coos","Gorham","Gordon J. Humphrey","Republican","Governor",,6
"Coos","Gorham","Jim Marron","Republican","Governor",,
"Coos","Gorham","Jim Squires","Republican","Governor",,1
"Coos","Gorham","Scatter",,"Governor",,
"Coos","Green's Grant","Mark Fernald","Democratic","Governor",,
"Coos","Green's Grant","Jeanne Shaheen","Democratic","Governor",,
"Coos","Green's Grant","Fred Bramante","Republican","Governor",,
"Coos","Green's Grant","Jeffrey R. Howard","Republican","Governor",,
"Coos","Green's Grant","Gordon J. Humphrey","Republican","Governor",,
"Coos","Green's Grant","Jim Marron","Republican","Governor",,
"Coos","Green's Grant","Jim Squires","Republican","Governor",,
"Coos","Green's Grant","Scatter",,"Governor",,
"Coos","Hadley's Purchase","Mark Fernald","Democratic","Governor",,
"Coos","Hadley's Purchase","Jeanne Shaheen","Democratic","Governor",,
"Coos","Hadley's Purchase","Fred Bramante","Republican","Governor",,
"Coos","Hadley's Purchase","Jeffrey R. Howard","Republican","Governor",,
"Coos","Hadley's Purchase","Gordon J. Humphrey","Republican","Governor",,
"Coos","Hadley's Purchase","Jim Marron","Republican","Governor",,
"Coos","Hadley's Purchase","Jim Squires","Republican","Governor",,
"Coos","Hadley's Purchase","Scatter",,"Governor",,
"Coos","Jefferson","Mark Fernald","Democratic","Governor",,12
"Coos","Jefferson","Jeanne Shaheen","Democratic","Governor",,34
"Coos","Jefferson","Fred Bramante","Republican","Governor",,
"Coos","Jefferson","Jeffrey R. Howard","Republican","Governor",,
"Coos","Jefferson","Gordon J. Humphrey","Republican","Governor",,1
"Coos","Jefferson","Jim Marron","Republican","Governor",,
"Coos","Jefferson","Jim Squires","Republican","Governor",,
"Coos","Jefferson","Scatter",,"Governor",,
"Coos","Kilkenny","Mark Fernald","Democratic","Governor",,0
"Coos","Kilkenny","Jeanne Shaheen","Democratic","Governor",,0
"Coos","Kilkenny","Fred Bramante","Republican","Governor",,0
"Coos","Kilkenny","Jeffrey R. Howard","Republican","Governor",,0
"Coos","Kilkenny","Gordon J. Humphrey","Republican","Governor",,0
"Coos","Kilkenny","Jim Marron","Republican","Governor",,0
"Coos","Kilkenny","Jim Squires","Republican","Governor",,0
"Coos","Kilkenny","Scatter",,"Governor",,0
"Coos","Lancaster","Mark Fernald","Democratic","Governor",,30
"Coos","Lancaster","Jeanne Shaheen","Democratic","Governor",,83
"Coos","Lancaster","Fred Bramante","Republican","Governor",,
"Coos","Lancaster","Jeffrey R. Howard","Republican","Governor",,1
"Coos","Lancaster","Gordon J. Humphrey","Republican","Governor",,1
"Coos","Lancaster","Jim Marron","Republican","Governor",,
"Coos","Lancaster","Jim Squires","Republican","Governor",,
"Coos","Lancaster","Scatter",,"Governor",,0
"Coos","Low & Burbank's Gt.","Mark Fernald","Democratic","Governor",,
"Coos","Low & Burbank's Gt.","Jeanne Shaheen","Democratic","Governor",,
"Coos","Low & Burbank's Gt.","Fred Bramante","Republican","Governor",,
"Coos","Low & Burbank's Gt.","Jeffrey R. Howard","Republican","Governor",,
"Coos","Low & Burbank's Gt.","Gordon J. Humphrey","Republican","Governor",,
"Coos","Low & Burbank's Gt.","Jim Marron","Republican","Governor",,
"Coos","Low & Burbank's Gt.","Jim Squires","Republican","Governor",,
"Coos","Low & Burbank's Gt.","Scatter",,"Governor",,
"Coos","Martin's Location","Mark Fernald","Democratic","Governor",,
"Coos","Martin's Location","Jeanne Shaheen","Democratic","Governor",,
"Coos","Martin's Location","Fred Bramante","Republican","Governor",,
"Coos","Martin's Location","Jeffrey R. Howard","Republican","Governor",,
"Coos","Martin's Location","Gordon J. Humphrey","Republican","Governor",,
"Coos","Martin's Location","Jim Marron","Republican","Governor",,
"Coos","Martin's Location","Jim Squires","Republican","Governor",,
"Coos","Martin's Location","Scatter",,"Governor",,
"Coos","Milan","Mark Fernald","Democratic","Governor",,26
"Coos","Milan","Jeanne Shaheen","Democratic","Governor",,45
"Coos","Milan","Fred Bramante","Republican","Governor",,
"Coos","Milan","Jeffrey R. Howard","Republican","Governor",,
"Coos","Milan","Gordon J. Humphrey","Republican","Governor",,
"Coos","Milan","Jim Marron","Republican","Governor",,
"Coos","Milan","Jim Squires","Republican","Governor",,
"Coos","Milan","Scatter",,"Governor",,
"Coos","Millsfield","Mark Fernald","Democratic","Governor",,1
"Coos","Millsfield","Jeanne Shaheen","Democratic","Governor",,0
"Coos","Millsfield","Fred Bramante","Republican","Governor",,
"Coos","Millsfield","Jeffrey R. Howard","Republican","Governor",,
"Coos","Millsfield","Gordon J. Humphrey","Republican","Governor",,
"Coos","Millsfield","Jim Marron","Republican","Governor",,
"Coos","Millsfield","Jim Squires","Republican","Governor",,
"Coos","Millsfield","Scatter",,"Governor",,
"Coos","Northumberland","Mark Fernald","Democratic","Governor",,34
"Coos","Northumberland","Jeanne Shaheen","Democratic","Governor",,76
"Coos","Northumberland","Fred Bramante","Republican","Governor",,
"Coos","Northumberland","Jeffrey R. Howard","Republican","Governor",,2
"Coos","Northumberland","Gordon J. Humphrey","Republican","Governor",,4
"Coos","Northumberland","Jim Marron","Republican","Governor",,
"Coos","Northumberland","Jim Squires","Republican","Governor",,
"Coos","Northumberland","Scatter",,"Governor",,
"Coos","Odell","Mark Fernald","Democratic","Governor",,0
"Coos","Odell","Jeanne Shaheen","Democratic","Governor",,0
"Coos","Odell","Fred Bramante","Republican","Governor",,0
"Coos","Odell","Jeffrey R. Howard","Republican","Governor",,0
"Coos","Odell","Gordon J. Humphrey","Republican","Governor",,0
"Coos","Odell","Jim Marron","Republican","Governor",,0
"Coos","Odell","Jim Squires","Republican","Governor",,0
"Coos","Odell","Scatter",,"Governor",,0
"Coos","Pinkham's Grant","Mark Fernald","Democratic","Governor",,
"Coos","Pinkham's Grant","Jeanne Shaheen","Democratic","Governor",,
"Coos","Pinkham's Grant","Fred Bramante","Republican","Governor",,
"Coos","Pinkham's Grant","Jeffrey R. Howard","Republican","Governor",,
"Coos","Pinkham's Grant","Gordon J. Humphrey","Republican","Governor",,
"Coos","Pinkham's Grant","Jim Marron","Republican","Governor",,
"Coos","Pinkham's Grant","Jim Squires","Republican","Governor",,
"Coos","Pinkham's Grant","Scatter",,"Governor",,
"Coos","Pittsburg","Mark Fernald","Democratic","Governor",,15
"Coos","Pittsburg","Jeanne Shaheen","Democratic","Governor",,22
"Coos","Pittsburg","Fred Bramante","Republican","Governor",,
"Coos","Pittsburg","Jeffrey R. Howard","Republican","Governor",,
"Coos","Pittsburg","Gordon J. Humphrey","Republican","Governor",,3
"Coos","Pittsburg","Jim Marron","Republican","Governor",,
"Coos","Pittsburg","Jim Squires","Republican","Governor",,
"Coos","Pittsburg","Scatter",,"Governor",,
"Coos","Randolph","Mark Fernald","Democratic","Governor",,30
"Coos","Randolph","Jeanne Shaheen","Democratic","Governor",,15
"Coos","Randolph","Fred Bramante","Republican","Governor",,
"Coos","Randolph","Jeffrey R. Howard","Republican","Governor",,
"Coos","Randolph","Gordon J. Humphrey","Republican","Governor",,
"Coos","Randolph","Jim Marron","Republican","Governor",,
"Coos","Randolph","Jim Squires","Republican","Governor",,
"Coos","Randolph","Scatter",,"Governor",,
"Coos","Sargent's Purchase","Mark Fernald","Democratic","Governor",,
"Coos","Sargent's Purchase","Jeanne Shaheen","Democratic","Governor",,
"Coos","Sargent's Purchase","Fred Bramante","Republican","Governor",,
"Coos","Sargent's Purchase","Jeffrey R. Howard","Republican","Governor",,
"Coos","Sargent's Purchase","Gordon J. Humphrey","Republican","Governor",,
"Coos","Sargent's Purchase","Jim Marron","Republican","Governor",,
"Coos","Sargent's Purchase","Jim Squires","Republican","Governor",,
"Coos","Sargent's Purchase","Scatter",,"Governor",,
"Coos","Second College Gt.","Mark Fernald","Democratic","Governor",,0
"Coos","Second College Gt.","Jeanne Shaheen","Democratic","Governor",,0
"Coos","Second College Gt.","Fred Bramante","Republican","Governor",,0
"Coos","Second College Gt.","Jeffrey R. Howard","Republican","Governor",,0
"Coos","Second College Gt.","Gordon J. Humphrey","Republican","Governor",,0
"Coos","Second College Gt.","Jim Marron","Republican","Governor",,0
"Coos","Second College Gt.","Jim Squires","Republican","Governor",,0
"Coos","Second College Gt.","Scatter",,"Governor",,0
"Coos","Shelburne","Mark Fernald","Democratic","Governor",,10
"Coos","Shelburne","Jeanne Shaheen","Democratic","Governor",,10
"Coos","Shelburne","Fred Bramante","Republican","Governor",,
"Coos","Shelburne","Jeffrey R. Howard","Republican","Governor",,
"Coos","Shelburne","Gordon J. Humphrey","Republican","Governor",,
"Coos","Shelburne","Jim Marron","Republican","Governor",,
"Coos","Shelburne","Jim Squires","Republican","Governor",,
"Coos","Shelburne","Scatter",,"Governor",,
"Coos","Stark","Mark Fernald","Democratic","Governor",,4
"Coos","Stark","Jeanne Shaheen","Democratic","Governor",,15
"Coos","Stark","Fred Bramante","Republican","Governor",,
"Coos","Stark","Jeffrey R. Howard","Republican","Governor",,
"Coos","Stark","Gordon J. Humphrey","Republican","Governor",,
"Coos","Stark","Jim Marron","Republican","Governor",,
"Coos","Stark","Jim Squires","Republican","Governor",,1
"Coos","Stark","Scatter",,"Governor",,
"Coos","Stewartstown","Mark Fernald","Democratic","Governor",,7
"Coos","Stewartstown","Jeanne Shaheen","Democratic","Governor",,16
"Coos","Stewartstown","Fred Bramante","Republican","Governor",,
"Coos","Stewartstown","Jeffrey R. Howard","Republican","Governor",,
"Coos","Stewartstown","Gordon J. Humphrey","Republican","Governor",,1
"Coos","Stewartstown","Jim Marron","Republican","Governor",,
"Coos","Stewartstown","Jim Squires","Republican","Governor",,
"Coos","Stewartstown","Scatter",,"Governor",,
"Coos","Stratford","Mark Fernald","Democratic","Governor",,8
"Coos","Stratford","Jeanne Shaheen","Democratic","Governor",,20
"Coos","Stratford","Fred Bramante","Republican","Governor",,
"Coos","Stratford","Jeffrey R. Howard","Republican","Governor",,1
"Coos","Stratford","Gordon J. Humphrey","Republican","Governor",,
"Coos","Stratford","Jim Marron","Republican","Governor",,
"Coos","Stratford","Jim Squires","Republican","Governor",,
"Coos","Stratford","Scatter",,"Governor",,
"Coos","Success","Mark Fernald","Democratic","Governor",,0
"Coos","Success","Jeanne Shaheen","Democratic","Governor",,0
"Coos","Success","Fred Bramante","Republican","Governor",,0
"Coos","Success","Jeffrey R. Howard","Republican","Governor",,0
"Coos","Success","Gordon J. Humphrey","Republican","Governor",,0
"Coos","Success","Jim Marron","Republican","Governor",,0
"Coos","Success","Jim Squires","Republican","Governor",,0
"Coos","Success","Scatter",,"Governor",,0
"Coos","Thompson & Mes's Pur.","Mark Fernald","Democratic","Governor",,
"Coos","Thompson & Mes's Pur.","Jeanne Shaheen","Democratic","Governor",,
"Coos","Thompson & Mes's Pur.","Fred Bramante","Republican","Governor",,
"Coos","Thompson & Mes's Pur.","Jeffrey R. Howard","Republican","Governor",,
"Coos","Thompson & Mes's Pur.","Gordon J. Humphrey","Republican","Governor",,
"Coos","Thompson & Mes's Pur.","Jim Marron","Republican","Governor",,
"Coos","Thompson & Mes's Pur.","Jim Squires","Republican","Governor",,
"Coos","Thompson & Mes's Pur.","Scatter",,"Governor",,
"Coos","Wentworth's Loc.","Mark Fernald","Democratic","Governor",,1
"Coos","Wentworth's Loc.","Jeanne Shaheen","Democratic","Governor",,2
"Coos","Wentworth's Loc.","Fred Bramante","Republican","Governor",,
"Coos","Wentworth's Loc.","Jeffrey R. Howard","Republican","Governor",,
"Coos","Wentworth's Loc.","Gordon J. Humphrey","Republican","Governor",,
"Coos","Wentworth's Loc.","Jim Marron","Republican","Governor",,
